fid,lat,lon,label
10209,-8.9522,-63.36693,unsure
10253,-9.00233,-63.12427,ilha
10258,-9.00619,-63.12473,ilha
10263,-9.03502,-62.71207,ilha
10340,-9.06249,-63.48433,not
10360,-9.09854,-63.08816,ilha
10408,-9.13968,-62.71217,ilha
10496,-9.22729,-62.9986,ilha
10517,-9.27411,-62.9039,ilha
10564,-9.34909,-62.92036,ilha
10586,-9.36645,-62.89027,ilha
10592,-9.37337,-62.87187,ilha
10599,-9.37726,-62.93098,ilha
10615,-9.39976,-62.90168,ilha
10618,-9.40383,-62.85367,ilha
10620,-9.39716,-63.05917,ilha
10633,-9.40545,-63.02966,ilha
10639,-9.4073,-63.03367,ilha
10644,-9.41813,-62.88702,ilha
10648,-9.42127,-62.85694,ilha
10752,-9.47649,-63.01681,not
10770,-9.47339,-63.40577,not
10862,-9.5814,-63.40865,ilha
10966,-9.66326,-63.55654,ilha
11007,-9.72617,-63.04951,ilha
11018,-9.72201,-63.23822,unsure
11026,-9.73339,-63.08771,ilha
11030,-9.73523,-63.06826,ilha
11032,-9.73791,-63.10439,ilha
11156,-8.86193,-62.34364,ilha
11171,-8.90099,-62.04099,ilha
11219,-8.97886,-62.04341,unsure
11460,-9.12485,-61.80185,ilha
11567,-9.13878,-62.14428,ilha
12343,-9.32687,-62.12933,ilha
12854,-9.47826,-62.54364,not
12903,-9.50635,-62.22875,not
13000,-9.52868,-62.44647,not
13318,-9.62306,-62.38815,not
13546,-9.67403,-62.60342,ilha
13625,-9.70287,-62.50433,ilha
13631,-9.70086,-62.60095,ilha
13690,-9.71454,-62.60717,ilha
13699,-9.72235,-62.52342,ilha
13732,-9.72664,-62.58927,ilha
14072,-9.00606,-60.56194,ilha
14297,-9.1335,-60.82325,not
14777,-9.34511,-61.07218,ilha
15298,-9.57701,-60.93633,unsure
15328,-9.59785,-60.74863,ilha
17246,-9.67688,-64.55673,ilha
17516,-9.77212,-63.87717,ilha
17712,-9.83367,-63.77013,ilha
18025,-9.89242,-64.46221,ilha
18030,-9.92547,-63.92778,ilha
18460,-10.01803,-63.71551,not
18858,-10.06356,-64.0732,ilha
18882,-10.07941,-63.85907,ilha
19549,-10.22729,-64.34413,ilha
19593,-10.24074,-64.35095,ilha
20543,-10.45755,-64.29857,not
20825,-10.49542,-64.44301,not
20829,-10.52396,-64.00625,not
20871,-10.53255,-64.01304,not
20925,-10.54731,-63.98276,not
20945,-10.5401,-64.13914,ilha
20983,-10.5564,-63.96096,not
21122,-10.57577,-63.94345,not
21125,-10.55155,-64.33607,not
21272,-10.59808,-63.94097,not
21358,-10.56791,-64.58163,not
21537,-10.63076,-63.87144,not
21691,-10.62484,-64.21455,not
22081,-10.67906,-64.07788,not
22128,-10.66261,-64.45112,not
22265,-10.72284,-63.80437,not
22313,-10.72939,-63.79854,not
22316,-10.72911,-63.80712,not
22329,-9.74299,-63.08721,ilha
22342,-9.75162,-63.02876,ilha
22350,-9.75616,-63.02145,ilha
22355,-9.7585,-63.07321,ilha
22361,-9.76233,-63.04109,ilha
22363,-9.7614,-63.08641,ilha
22378,-9.77063,-63.04546,ilha
22388,-9.77266,-63.0886,ilha
22393,-9.77543,-63.07103,ilha
22398,-9.78714,-62.99917,ilha
22400,-9.78629,-63.04764,ilha
22401,-9.754,-63.63062,ilha
22420,-9.7926,-63.06938,ilha
22422,-9.77727,-63.364,ilha
22426,-9.77932,-63.35058,ilha
22428,-9.79652,-63.04508,ilha
22434,-9.79867,-63.05303,ilha
22445,-9.80642,-63.06728,ilha
22448,-9.80772,-63.0624,ilha
22454,-9.81249,-63.01337,ilha
22467,-9.80672,-63.1974,ilha
22468,-9.81712,-63.01389,ilha
22470,-9.80735,-63.20004,ilha
22506,-9.82788,-63.41922,ilha
22509,-9.842,-63.20434,ilha
22824,-9.92392,-63.20015,ilha
22831,-9.93543,-63.02212,ilha
22832,-9.93659,-63.006,ilha
22865,-9.94171,-63.0303,ilha
22884,-9.9442,-63.04584,ilha
22887,-9.94846,-62.98344,ilha
22901,-9.94917,-63.03099,ilha
22907,-9.94823,-63.05703,ilha
23118,-9.96717,-63.32645,ilha
23151,-9.99531,-62.9229,ilha
23183,-10.00382,-62.85834,ilha
23269,-9.99137,-63.3143,ilha
23531,-10.00696,-63.67089,ilha
23583,-10.0281,-63.42171,ilha
23742,-10.06285,-63.15284,ilha
23789,-10.08255,-62.89077,unsure
23870,-10.09286,-62.88247,ilha
23902,-10.06453,-63.48376,ilha
24019,-10.12204,-62.73589,unsure
24113,-10.13236,-62.70875,unsure
24173,-10.13816,-62.73498,not
24349,-10.14864,-62.96772,ilha
24511,-10.14683,-63.33355,ilha
24599,-10.14797,-63.50486,ilha
24634,-10.18103,-63.02629,ilha
24643,-10.17907,-63.07867,ilha
24658,-10.14715,-63.66365,ilha
24845,-10.17452,-63.58016,not
24868,-10.18336,-63.48222,not
25703,-10.28104,-63.45445,ilha
25948,-10.35585,-62.69906,ilha
26170,-10.33772,-63.46517,not
26453,-10.38842,-63.17983,ilha
26454,-10.3891,-63.16812,ilha
26561,-10.39904,-63.18831,ilha
26562,-10.39862,-63.20421,ilha
26620,-10.40574,-63.18871,ilha
26644,-10.40694,-63.20785,ilha
26655,-10.39435,-63.43783,ilha
26700,-10.41328,-63.17923,ilha
26738,-10.41648,-63.20398,ilha
26770,-10.42055,-63.18751,ilha
26779,-10.43629,-62.92703,ilha
26871,-10.43387,-63.14572,ilha
26877,-10.43097,-63.20381,ilha
26882,-10.41595,-63.46106,ilha
26925,-10.44965,-62.97778,ilha
26942,-10.44037,-63.1759,ilha
26969,-10.44273,-63.18858,ilha
26980,-10.46028,-62.91981,ilha
27023,-10.44722,-63.23065,ilha
27037,-10.46573,-62.93741,ilha
27040,-10.46489,-62.95619,ilha
27047,-10.45357,-63.16258,ilha
27079,-10.4583,-63.14379,ilha
27194,-10.48379,-62.89844,ilha
27202,-10.48273,-62.93449,ilha
27203,-10.46673,-63.21119,ilha
27214,-10.4837,-62.94449,ilha
27324,-10.49729,-62.93798,ilha
27526,-10.49661,-63.36917,ilha
27573,-10.52862,-62.92467,ilha
27630,-10.54646,-62.73851,ilha
28084,-10.59017,-62.88647,ilha
28149,-10.59953,-62.86399,ilha
28161,-10.57309,-63.3219,ilha
28180,-10.60091,-62.8845,ilha
28188,-10.60251,-62.87046,ilha
28201,-10.60376,-62.86686,ilha
28213,-10.6122,-62.75369,ilha
28229,-10.60716,-62.86628,ilha
28268,-10.61135,-62.86549,ilha
28352,-10.57923,-63.57417,ilha
28514,-10.60186,-63.52914,ilha
28913,-10.64043,-63.69093,ilha
29111,-10.68293,-63.41516,ilha
30009,-9.91847,-62.31522,not
30142,-9.96289,-62.34409,not
30164,-9.97226,-62.30976,not
30271,-10.02606,-62.07069,ilha
30342,-10.01422,-62.64638,unsure
30674,-10.09583,-62.66168,ilha
30692,-10.1099,-62.49102,not
30762,-10.14708,-62.09799,unsure
34268,-9.90878,-61.00102,unsure
34386,-9.97442,-60.765,ilha
34506,-9.99671,-61.3648,ilha
34834,-10.0737,-61.53276,ilha
34986,-10.12194,-61.32467,ilha
35030,-10.16403,-60.67696,ilha
35243,-10.17613,-61.21417,ilha
36375,-10.40159,-61.31305,not
39207,-10.22286,-60.50248,ilha
39681,-10.76154,-60.44333,ilha
40298,-10.73293,-63.79563,not
40315,-10.73547,-63.80023,not
40391,-10.74859,-63.77604,not
40408,-10.75137,-63.77283,not
40420,-10.74655,-63.87809,not
40433,-10.74951,-63.87203,not
40434,-10.75455,-63.79207,not
40445,-10.75072,-63.86924,not
40464,-10.7608,-63.7664,not
40473,-10.75655,-63.8545,not
40482,-10.75798,-63.85225,not
40490,-10.76546,-63.762,not
40535,-10.77069,-63.75269,not
40594,-10.78044,-63.75749,not
41165,-10.84166,-64.3448,not
41166,-10.84186,-64.3417,not
41182,-10.86642,-63.99429,not
41185,-10.84444,-64.34161,not
41219,-10.85075,-64.33553,not
41227,-10.85115,-64.34908,not
41244,-10.85419,-64.33004,not
41249,-10.8512,-64.38366,not
41251,-10.85523,-64.32595,not
41252,-10.85557,-64.32077,not
41714,-10.96695,-64.03663,not
41719,-10.96976,-64.02509,not
41720,-10.97241,-63.99217,not
41721,-10.97285,-63.98933,not
41722,-10.97257,-63.99765,not
41724,-10.97496,-63.98452,not
41725,-10.97647,-63.97315,not
41729,-10.98029,-63.96584,not
41731,-10.98231,-63.96258,not
42321,-10.77593,-63.14436,unsure
42357,-10.80684,-62.72397,ilha
42366,-10.76519,-63.44278,ilha
42564,-10.8047,-63.32976,unsure
42714,-10.82999,-63.29265,ilha
42975,-10.88494,-63.18518,unsure
43439,-10.95086,-63.41485,ilha
43496,-10.96049,-63.42201,ilha
44716,-11.37935,-62.89131,not
44955,-11.42912,-63.14761,not
45313,-11.54569,-63.122,not
45360,-11.5645,-63.15134,not
45370,-11.56832,-63.16026,not
45372,-11.56834,-63.16393,not
45542,-11.61141,-63.76654,not
45728,-11.72563,-63.52326,not
45762,-11.74241,-63.5273,not
45791,-11.75517,-63.53343,not
46046,-10.87432,-62.40199,not
46191,-10.90926,-62.6675,not
49019,-11.82223,-62.41205,not
50300,-11.02051,-61.19248,ilha
50983,-11.11285,-61.13392,ilha
51370,-11.12664,-61.60581,unsure
52487,-11.28204,-61.09985,unsure
53235,-11.38436,-60.74029,unsure
53271,-11.37607,-60.97989,not
54032,-11.50776,-60.94557,not
55170,-11.22924,-60.44414,not
55709,-11.50618,-60.47752,ilha
56229,-11.80957,-60.64563,not
56314,-11.78517,-63.99697,not
56563,-12.41402,-64.21645,unsure
57100,-11.91467,-62.27001,not
57101,-11.91495,-62.26554,not
57123,-11.91815,-62.25598,not
57153,-11.92137,-62.26675,not
57155,-11.92233,-62.25572,not
57169,-11.92414,-62.24765,not
57500,-11.97945,-61.95543,not
57522,-11.98099,-61.96823,not
57536,-11.98316,-61.95858,not
57543,-11.9835,-61.97395,not
57565,-11.98644,-61.96858,not
57576,-11.98844,-61.96157,not
59006,-12.25591,-61.85977,not
59953,-12.52349,-62.3537,not
62255,-12.68886,-61.69183,unsure
62663,-12.85043,-60.73956,not
62859,-12.85597,-61.26549,ilha
62903,-12.89756,-60.76582,unsure
63498,-12.50882,-60.59292,not
63525,-12.5214,-60.67214,not
63559,-12.55232,-60.58893,not
63609,-12.64894,-60.62616,ilha
